Date,Open,High,Low,Close,Adj Close,Volume
2023-06-21,3870.000000,3880.000000,3840.000000,3850.000000,2711.596436,61158000
2023-06-22,3850.000000,3870.000000,3750.000000,3780.000000,2662.294678,111652300
2023-06-23,3780.000000,3810.000000,3680.000000,3700.000000,2605.949951,225347500
2023-06-26,3150.000000,3150.000000,3150.000000,3150.000000,3150.000000,4857300
2023-06-27,2680.000000,2680.000000,2680.000000,2680.000000,2680.000000,64168100
2023-07-03,2670.000000,2750.000000,2660.000000,2720.000000,2720.000000,116625000
2023-07-04,2730.000000,2750.000000,2720.000000,2730.000000,2730.000000,33908200
2023-07-05,2740.000000,2810.000000,2740.000000,2780.000000,2780.000000,47096400
2023-07-06,2790.000000,2830.000000,2790.000000,2810.000000,2810.000000,33725200
2023-07-07,2800.000000,2800.000000,2760.000000,2770.000000,2770.000000,26853600
2023-07-10,2770.000000,2800.000000,2770.000000,2780.000000,2780.000000,20234400
2023-07-11,2770.000000,2770.000000,2730.000000,2760.000000,2760.000000,24286200
2023-07-12,2760.000000,2760.000000,2730.000000,2730.000000,2730.000000,26430800
2023-07-13,2720.000000,2740.000000,2710.000000,2740.000000,2740.000000,16924300
2023-07-14,2740.000000,2790.000000,2740.000000,2770.000000,2770.000000,22841800
2023-07-17,2790.000000,2810.000000,2780.000000,2790.000000,2790.000000,20966500
2023-07-18,2790.000000,2800.000000,2750.000000,2750.000000,2750.000000,17228700
2023-07-20,2770.000000,2790.000000,2760.000000,2770.000000,2770.000000,9100600
2023-07-21,2780.000000,2800.000000,2770.000000,2790.000000,2790.000000,16007800
2023-07-24,2820.000000,2880.000000,2800.000000,2880.000000,2880.000000,52006600
2023-07-25,2890.000000,2910.000000,2840.000000,2850.000000,2850.000000,51691700
2023-07-26,2860.000000,2890.000000,2850.000000,2880.000000,2880.000000,25935800
2023-07-27,2880.000000,2880.000000,2830.000000,2830.000000,2830.000000,19828800
2023-07-28,2820.000000,2820.000000,2760.000000,2800.000000,2800.000000,15406900
2023-07-31,2790.000000,2820.000000,2760.000000,2770.000000,2770.000000,25251600
2023-08-01,2770.000000,2790.000000,2730.000000,2730.000000,2730.000000,23270900
2023-08-02,2730.000000,2760.000000,2720.000000,2740.000000,2740.000000,13498100
2023-08-03,2740.000000,2760.000000,2730.000000,2740.000000,2740.000000,8719400
2023-08-04,2760.000000,2810.000000,2760.000000,2780.000000,2780.000000,17940600
2023-08-07,2780.000000,2790.000000,2760.000000,2770.000000,2770.000000,8800700
2023-08-08,2780.000000,2800.000000,2760.000000,2770.000000,2770.000000,12299300
2023-08-09,2770.000000,2800.000000,2760.000000,2780.000000,2780.000000,12224700
2023-08-10,2800.000000,2820.000000,2780.000000,2790.000000,2790.000000,13118900
2023-08-11,2800.000000,2800.000000,2770.000000,2770.000000,2770.000000,9851300
2023-08-14,2770.000000,2790.000000,2750.000000,2780.000000,2780.000000,11758100
2023-08-15,2780.000000,2810.000000,2770.000000,2790.000000,2790.000000,15620300
2023-08-16,2800.000000,2800.000000,2770.000000,2770.000000,2770.000000,8650100
2023-08-18,2780.000000,2820.000000,2770.000000,2790.000000,2790.000000,21852700
2023-08-21,2800.000000,2820.000000,2790.000000,2800.000000,2800.000000,19218000
2023-08-22,2810.000000,2990.000000,2810.000000,2990.000000,2990.000000,116091200
2023-08-23,3010.000000,3070.000000,3010.000000,3020.000000,3020.000000,64887800
2023-08-24,3000.000000,3020.000000,2950.000000,2950.000000,2950.000000,35075400
2023-08-25,2940.000000,2950.000000,2880.000000,2910.000000,2910.000000,19594600
